"event","time","long","lat","speed","height","stage","tag"
1583646857,2012-04-01 20:00:00,-121.607830000542,38.6814999995686,0.51444,120,"preHatching","105930"
1583651120,2012-04-01 20:00:00,-121.585829999837,38.7623300000666,0,210,"arrival","105936"
1583646858,2012-04-01 21:00:00,-121.603169999594,38.6846700004029,6.17328,90,"preHatching","105930"
1583646859,2012-04-01 22:00:00,-121.604500000111,38.6840000000257,5.1444,110,"preHatching","105930"
1583651121,2012-04-01 22:00:00,-121.591329999994,38.7679999999397,14.91876,270,"arrival","105936"
1583646860,2012-04-01 23:00:00,-121.609830000506,38.6858300003092,8.23104,120,"preHatching","105930"
1583646861,2012-04-02 00:00:00,-121.606670000467,38.684999999841,8.23104,40,"preHatching","105930"
1583651122,2012-04-02 00:00:00,-121.593000000567,38.7595000001889,0,30,"arrival","105936"
1583646862,2012-04-02 01:00:00,-121.605667148228,38.6849939770674,0,30,"preHatching","105930"
1583646863,2012-04-02 02:00:00,-121.606339909274,38.6851785971344,0,30,"preHatching","105930"
1583651123,2012-04-02 02:00:00,-121.593672861728,38.7588341674226,0,30,"arrival","105936"
1583646864,2012-04-02 03:00:00,-121.611670000483,38.6948300000105,0,30,"preHatching","105930"
1583646865,2012-04-02 16:00:00,-121.607500000244,38.6848299999385,0,30,"preHatching","105930"
1583651124,2012-04-02 16:00:00,-121.580330000106,38.7593300002065,0,30,"preHatching","105936"
1583646866,2012-04-02 17:00:00,-121.604000000095,38.6838299998621,0,30,"preHatching","105930"
1583646867,2012-04-02 18:00:00,-121.602170000297,38.6833299996815,6.17328,150,"preHatching","105930"
1583651125,2012-04-02 18:00:00,-121.593668340419,38.7588291255507,0,50,"preHatching","105936"
1583646868,2012-04-02 19:00:00,-121.606670000167,38.6839999999961,2.5722,240,"preHatching","105930"
1583646869,2012-04-02 20:00:00,-121.605999999631,38.6836699998766,10.2888,260,"preHatching","105930"
1583651126,2012-04-02 20:00:00,-121.585669999948,38.7600000002776,10.80324,260,"preHatching","105936"
1583646870,2012-04-02 21:00:00,-121.605329999494,38.6821700003726,11.31768,200,"preHatching","105930"
1583646871,2012-04-02 22:00:00,-121.610670000174,38.6848300003998,6.17328,80,"preHatching","105930"
1583651127,2012-04-02 22:00:00,-121.591329999513,38.7569999999848,5.65884,140,"preHatching","105936"
1583646872,2012-04-02 23:00:00,-121.605830000243,38.6851699998375,0,60,"preHatching","105930"
1583646873,2012-04-03 00:00:00,-121.60817676855,38.6863296033699,0,30,"preHatching","105930"
1583651128,2012-04-03 00:00:00,-121.591500000385,38.7594999999975,0,100,"preHatching","105936"
1583646874,2012-04-03 01:00:00,-121.607177285385,38.6851778321888,0,30,"preHatching","105930"
1583646875,2012-04-03 02:00:00,-121.608169999467,38.6860000000618,0,30,"preHatching","105930"
1583651129,2012-04-03 02:00:00,-121.591820721007,38.7591640331376,0,40,"preHatching","105936"
1583646876,2012-04-03 03:00:00,-121.607829999548,38.6860000003272,0,30,"preHatching","105930"
1583639037,2012-04-03 16:00:00,-121.55832999968,38.6108299997282,6.17328,60,"preHatching","105923"
1583646877,2012-04-03 16:00:00,-121.609999999539,38.6863299995791,0,30,"preHatching","105930"
1583651130,2012-04-03 16:00:00,-121.583999999823,38.7581699999385,0,30,"preHatching","105936"
1583639038,2012-04-03 17:00:00,-121.557169999483,38.6093299997442,0,50,"preHatching","105923"
1583646878,2012-04-03 17:00:00,-121.604829999545,38.6870000003244,2.05776,30,"preHatching","105930"
1583639039,2012-04-03 18:00:00,-121.545330000086,38.6258300003947,6.17328,80,"preHatching","105923"
1583646879,2012-04-03 18:00:00,-121.60782999985,38.6861700003599,11.83212,90,"preHatching","105930"
1583651131,2012-04-03 18:00:00,-121.59267000039,38.754830000295,6.68772,100,"preHatching","105936"
1583639040,2012-04-03 19:00:00,-121.567829999913,38.6064999999892,2.5722,140,"preHatching","105923"
1583646880,2012-04-03 19:00:00,-121.602829999633,38.6806699996759,5.65884,30,"preHatching","105930"
1583639041,2012-04-03 20:00:00,-121.543499999634,38.7605000002535,4.11552,80,"preHatching","105923"
1583646881,2012-04-03 20:00:00,-121.608669999744,38.6863299998657,15.94764,330,"preHatching","105930"
1583651132,2012-04-03 20:00:00,-121.580000000379,38.7578299997135,0,30,"preHatching","105936"
1583639042,2012-04-03 21:00:00,-121.514330000493,38.7843299996807,9.25992,270,"preHatching","105923"
1583646882,2012-04-03 21:00:00,-121.607169999961,38.6828300002659,0.51444,150,"preHatching","105930"
1583639043,2012-04-03 22:00:00,-121.516829999457,38.7633299995883,17.49096,60,"preHatching","105923"
1583646883,2012-04-03 22:00:00,-121.60249999963,38.6805000003637,0,30,"preHatching","105930"
1583651133,2012-04-03 22:00:00,-121.596329999876,38.7548299997265,0.51444,320,"preHatching","105936"
1583639044,2012-04-03 23:00:00,-121.540170000025,38.749829999996,5.1444,70,"preHatching","105923"
1583646884,2012-04-03 23:00:00,-121.608325561046,38.686007173497,0,70,"preHatching","105930"
1583639045,2012-04-04 00:00:00,-121.562669999684,38.633830000212,5.1444,30,"preHatching","105923"
1583646885,2012-04-04 00:00:00,-121.604669999856,38.6874999997542,2.05776,40,"preHatching","105930"
1583651134,2012-04-04 00:00:00,-121.59449999993,38.7581700002139,0,30,"preHatching","105936"
1583639046,2012-04-04 01:00:00,-121.557175349751,38.6093317907082,0,30,"preHatching","105923"
1583646886,2012-04-04 01:00:00,-121.603999999496,38.6846700001578,0,30,"preHatching","105930"
1583639047,2012-04-04 02:00:00,-121.557330000549,38.6094999997283,0,30,"preHatching","105923"
1583646887,2012-04-04 02:00:00,-121.604002576481,38.6838345521476,0,30,"preHatching","105930"
1583651135,2012-04-04 02:00:00,-121.579830000164,38.7569999996315,0,30,"preHatching","105936"
1583639048,2012-04-04 03:00:00,-121.55716999966,38.6098300001662,0,30,"preHatching","105923"
1583646888,2012-04-04 03:00:00,-121.611169999711,38.6853299996015,0,30,"preHatching","105930"
1583639049,2012-04-04 16:00:00,-121.557670000176,38.6093300001563,0,50,"preHatching","105923"
1583646889,2012-04-04 16:00:00,-121.603830000415,38.6828299997338,7.20216,30,"preHatching","105930"
1583651136,2012-04-04 16:00:00,-121.593506778068,38.759004528077,0,30,"preHatching","105936"
1583639050,2012-04-04 17:00:00,-121.569499999706,38.608829999544,4.11552,100,"preHatching","105923"
1583646890,2012-04-04 17:00:00,-121.604500000398,38.6831700002884,4.62996,330,"preHatching","105930"
1583639051,2012-04-04 18:00:00,-121.570829999636,38.6086699999581,6.68772,370,"preHatching","105923"
1583646891,2012-04-04 18:00:00,-121.603830000081,38.6826700003655,7.20216,50,"preHatching","105930"
1583651137,2012-04-04 18:00:00,-121.588330000333,38.7576699998516,4.62996,110,"preHatching","105936"
1583639052,2012-04-04 19:00:00,-121.575830000533,38.6050000001995,0,190,"preHatching","105923"
1583646892,2012-04-04 19:00:00,-121.608830000536,38.6844999997952,5.65884,40,"preHatching","105930"
1583646893,2012-04-04 20:00:00,-121.607670000364,38.6838300004302,7.7166,40,"preHatching","105930"
1583651138,2012-04-04 20:00:00,-121.583500000457,38.7584999997786,1.02888,100,"preHatching","105936"
1583646894,2012-04-04 21:00:00,-121.603999999533,38.6839999998829,0,30,"preHatching","105930"
1583646895,2012-04-04 22:00:00,-121.606500000081,38.6823300002044,8.23104,150,"preHatching","105930"
1583651139,2012-04-04 22:00:00,-121.5841700001,38.7568300003487,6.68772,170,"preHatching","105936"
1583646896,2012-04-04 23:00:00,-121.604669999701,38.6851699999785,0,30,"preHatching","105930"
1583639057,2012-04-05 00:00:00,-121.582000000543,38.6731699997285,7.7166,160,"preHatching","105923"
1583646897,2012-04-05 00:00:00,-121.605663734635,38.6853331074294,0,60,"preHatching","105930"
1583651140,2012-04-05 00:00:00,-121.586329999812,38.7601699999154,4.11552,270,"preHatching","105936"
1583639058,2012-04-05 01:00:00,-121.556829999563,38.6093300001599,0,130,"preHatching","105923"
1583646898,2012-04-05 01:00:00,-121.604000000146,38.6826699998152,0,30,"preHatching","105930"
1583639059,2012-04-05 02:00:00,-121.555830000569,38.6093299999558,0,90,"preHatching","105923"
1583646899,2012-04-05 02:00:00,-121.603999999693,38.6828300000778,0,30,"preHatching","105930"
1583651141,2012-04-05 02:00:00,-121.578330000392,38.755170000312,0,50,"preHatching","105936"
